[INFO] [1756482838.827518265] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482839.428692682] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482840.029679119] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482840.630635304] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482841.231624964] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482841.832714830] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482842.433664659] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482843.034669525] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482843.635232521] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482844.235891730] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482844.836829300] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482845.437785588] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482846.038756964] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482846.639881913] [voice_control_
